"type","intercept","linear_term","quadratic_term"
"min",14.2422064215687,-0.0170583564618165,-0.0094468693583503
"avg",25.7662339488978,0.0504988857793152,-0.00854608691708212
"max",36.2897169991216,0.106936436526082,-0.00675986149157863
