"latitude","Tmin","Tavg","Tmax"
83.5833333333333,-14.841612423936,-7.37420442128569,1.62775280459286
83.4166666666667,-26.4211658394855,-13.4602682180855,2.08641477771427
83.25,-29.4081175918579,-15.1202719464696,1.563898465693
83.0833333333333,-30.9687953876688,-15.6574279927285,2.60184966847102
82.9166666666667,-30.8958125378303,-15.7191870919383,2.59742420490669
82.75,-31.7962354873935,-16.2223141962983,2.59434646340615
82.5833333333333,-33.633039795498,-17.3904994228369,1.68318984248126
82.4166666666667,-33.2741536163702,-17.4716251918521,1.00831677433225
82.25,-33.8840958074882,-17.7553975402606,1.15047501137603
82.0833333333333,-33.6079565943504,-17.4624660617352,1.88250990991946
81.9166666666667,-34.1435514111253,-17.7179140366508,1.90657569266159
81.75,-34.6998469164019,-17.9035840115666,2.2231677671719
81.5833333333333,-34.4882518061913,-17.8283975685463,2.12139828512821
81.4166666666667,-34.7097692305944,-17.981862396243,2.09253621492214
81.25,-32.4927142023816,-16.8799828470127,1.76036250284901
81.0833333333333,-33.2722449599109,-17.4349233646836,1.30264948146231
80.9166666666667,-33.8403841378967,-17.8371842715594,0.870493530825659
80.75,-33.4642972379779,-17.6590514004076,0.726492139680482
80.5833333333333,-33.0698987039617,-17.5015903091302,0.684103419299569
80.4166666666667,-33.2643427905199,-17.6596312701591,0.481789275003295
80.25,-33.0373549887247,-17.394309776775,0.698581943190392
80.0833333333333,-33.4972737297052,-17.5838491531039,0.745097056798929
79.9166666666667,-35.3556968338395,-18.6216728941412,0.825403067279503
79.75,-35.1019623790181,-18.4647042671229,0.76998212921408
79.5833333333333,-35.3498092240925,-18.7406726756847,0.530093011291357
79.4166666666667,-35.584357102712,-18.8257937871422,0.687758859521082
79.25,-35.9120785424793,-19.1080392712816,0.55389257051493
79.0833333333333,-35.988031768463,-19.0581596241386,0.764259106651749
78.9166666666667,-35.7801076098756,-19.046084339124,0.391525182508297
78.75,-36.0631581504873,-19.1531482047428,0.518964768269009
78.5833333333333,-36.2672163085684,-19.2430996006903,0.616343900717584
78.4166666666667,-36.4826934397721,-19.3576703594689,0.596653697104389
78.25,-36.3986603076083,-19.2801385655128,0.481766072774776
78.0833333333333,-36.0182805960368,-19.3038030637682,-0.126952684004128
77.9166666666667,-35.9590084202962,-19.2387813668581,-0.0372411893306724
77.75,-35.3820919608697,-18.9284176717295,-0.00826921182306251
77.5833333333333,-35.0269157208603,-18.5953030778755,0.183120305406748
77.4166666666667,-35.8153208482613,-18.9339548574043,0.369928296738603
77.25,-35.6983861179078,-18.983774861325,0.140754052802148
77.0833333333333,-35.9130566458026,-19.0758203603113,0.105716537661895
76.9166666666667,-36.2302416100431,-19.1032002927198,0.357552497220267
76.75,-35.9729027701206,-18.6314560145005,1.00959572591132
76.5833333333333,-35.886837983587,-18.4208121248843,1.42766453159801
76.4166666666667,-35.8844983241401,-18.2766864211162,1.73213609240272
76.25,-35.3796880471555,-17.9218376601707,1.81085349587559
76.0833333333333,-34.9856427195687,-17.6779600520812,1.8835374667608
75.9166666666667,-35.2198363551973,-17.9317366879069,1.77386653304135
75.75,-35.4490028310156,-18.0134994644871,1.9246259775146
75.5833333333333,-35.5323372782999,-17.9330184369248,2.30428511816255
75.4166666666667,-35.5546086016863,-17.8887491705206,2.45519513367061
75.25,-35.2794788408748,-17.6671929680026,2.63365411415937
75.0833333333333,-34.9651394607328,-17.3670260222468,2.79482732267773
74.9166666666667,-35.0716707695328,-17.4352236464063,2.71742541764748
74.75,-34.731104086171,-17.3317477600214,2.62853984618317
74.5833333333333,-34.3100787240106,-17.0059671524813,2.856032331265
74.4166666666667,-33.9906925365064,-16.8961941723348,2.82305403787062
74.25,-34.2808389821982,-17.0271347603941,2.97123316514665
74.0833333333333,-34.4475312592674,-16.8181444346419,3.59794553396665
73.9166666666667,-34.3139197193493,-16.6332798880854,3.86334252307361
73.75,-34.4521454809556,-16.360850650313,4.65078118308079
73.5833333333333,-34.58902488995,-16.0554528679014,5.41967574328246
73.4166666666667,-34.5475363660979,-15.9126198295314,5.687545199746
73.25,-34.755399507025,-15.9156050206211,5.95675634378771
73.0833333333333,-34.8407717025358,-15.7695907182265,6.4253419874589
72.9166666666667,-34.7501011464842,-15.5050200127556,6.94009746749831
72.75,-34.6138584072463,-15.2865247099656,7.26363025039686
72.5833333333333,-34.6980338731258,-15.2565036052788,7.47655430224409
72.4166666666667,-34.8507747916288,-15.1743921591789,7.8177989702022
72.25,-34.8455037842319,-15.0805213685943,8.02083378903644
72.0833333333333,-34.4951274260441,-14.8049793453865,8.22547141127036
71.9166666666667,-34.5319997809295,-14.6857377815531,8.5182423342485
71.75,-34.3559973904344,-14.4223869677179,8.88762458215971
71.5833333333333,-34.5232192379946,-14.3120339993337,9.22564249796018
71.4166666666667,-34.6388731081138,-14.2566532843776,9.43748644372693
71.25,-34.631845124043,-14.1472549360432,9.69384413546634
71.0833333333333,-34.1259664920751,-13.7488084776465,9.98546294186613
70.9166666666667,-33.8261919189227,-13.4347364056449,10.3125058109153
70.75,-33.7936550632957,-13.2237464698469,10.7526267856413
70.5833333333333,-33.8603467482297,-13.101274257939,11.1104822523772
70.4166666666667,-33.7333489919582,-12.9375309844978,11.3478989089748
70.25,-33.5191110629425,-12.7554257240219,11.5441225842519
70.0833333333333,-33.4288262509531,-12.6411822339097,11.7106374333215
69.9166666666667,-33.278737122262,-12.4854403814207,11.8935648339634
69.75,-33.0741514335185,-12.2259481755737,12.1794536041935
69.5833333333333,-33.0049326337161,-12.0906926599996,12.4545262443023
