"","q","y","z","w"
"q",0.464222222222222,-0.126799066286838,-1.12588194444444,-0.00232213077441601
"y",-0.126799066286838,0.586450029969732,-0.337626828862002,0.130697829957271
"z",-1.12588194444444,-0.337626828862002,9.02123263888889,0.510568042302699
"w",-0.00232213077441601,0.130697829957271,0.510568042302699,0.187247158121007
